Gene,Annotation,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
melR,Melibiose operon regulatory protein,MELR_ECOLI,P0ACH8,EG11230,302,melR,b4118, JW4079
mnmG,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,MNMG_ECOLI,P0A6U3,EG10375,629,mnmG; gidA; trmF,b3741, JW3719
recA,Protein RecA,RECA_ECOLI,P0A7G6,EG10823,353,recA; lexB; recH; rnmB; tif; umuB; zab,b2699, JW2669
rpsN,30S ribosomal protein S14,RS14_ECOLI,P0AG59,EG10913,101,rpsN,b3307, JW3269
mlaC,putative phospholipid-binding protein MlaC,MLAC_ECOLI,P0ADV7,EG12798,211,mlaC; yrbC,b3192, JW3159
proW,Glycine betaine/proline betaine transport system permease protein ProW,PROW_ECOLI,P14176,EG10772,354,proW,b2678, JW2653
pgk,Phosphoglycerate kinase,PGK_ECOLI,P0A799,EG10703,387,pgk,b2926, JW2893
uup,ABC transporter ATP-binding protein uup,UUP_ECOLI,P43672,EG13134,635,uup; ycbH; ycbI,b0949, JW0932
yrfF,Putative membrane protein IgaA ,IGAA_ECOLI,P45800,EG12927,711,yrfF,b3398, JW3361
pgm,Phosphoglucomutase,PGM_ECOLI,P36938,EG12144,546,pgm,b0688, JW0675
ubiA,4-hydroxybenzoate octaprenyltransferase,UBIA_ECOLI,P0AGK1,EG11370,290,ubiA; cyr,b4040, JW4000
lysC,Lysine-sensitive aspartokinase 3,AK3_ECOLI,P08660,EG10550,449,lysC; apk,b4024, JW3984
ccmE,Cytochrome c-type biogenesis protein CcmE,CCME_ECOLI,P69490,EG12055,159,ccmE; yejS,b2197, JW2185
sucC,Succinate--CoA ligase [ADP-forming] subunit beta,SUCC_ECOLI,P0A836,EG10981,388,sucC,b0728, JW0717
zupT,Zinc transporter ZupT,ZUPT_ECOLI,P0A8H3,EG11167,257,zupT; ygiE,b3040, JW3008
kup,Low affinity potassium transport system protein kup,KUP_ECOLI,P63183,EG11541,622,kup; trkD,b3747, JW5609
gltK,Glutamate/aspartate import permease protein GltK,GLTK_ECOLI,P0AER5,EG12662,224,gltK,b0653, JW0648
nfi,Endonuclease V,NFI_ECOLI,P68739,EG11915,223,nfi; yjaF,b3998, JW5547
dapB,4-hydroxy-tetrahydrodipicolinate reductase,DAPB_ECOLI,P04036,EG10206,273,dapB,b0031, JW0029
yhjB,Putative HTH-type transcriptional regulator YhjB,YHJB_ECOLI,P37640,EG12246,200,yhjB,b3520, JW3488
pqiB,Paraquat-inducible protein B,PQIB_ECOLI,P43671,EG12966,546,pqiB; pqi5B,b0951, JW0934
purF,Amidophosphoribosyltransferase,PUR1_ECOLI,P0AG16,EG10794,505,purF,b2312, JW2309
glgC,Glucose-1-phosphate adenylyltransferase,GLGC_ECOLI,P0A6V1,EG10379,431,glgC,b3430, JW3393
yciB,putative intracellular septation protein A,YCIB_ECOLI,P0A710,EG11122,179,yciB; ispZ,b1254, JW1246
arnC,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,ARNC_ECOLI,P77757,EG14090,322,arnC; pmrF; yfbF,b2254, JW2248
recC,RecBCD enzyme subunit RecC,RECC_ECOLI,P07648,EG10825,1122,recC,b2822, JW2790
slmA,Nucleoid occlusion factor SlmA,SLMA_ECOLI,P0C093,EG11191,198,slmA; ttk; yicB,b3641, JW5641
secD,Protein translocase subunit SecD,SECD_ECOLI,P0AG90,EG10938,615,secD,b0408, JW0398
glgA,Glycogen synthase,GLGA_ECOLI,P0A6U8,EG10377,477,glgA,b3429, JW3392
tig,Trigger factor,TIG_ECOLI,P0A850,EG11003,432,tig,b0436, JW0426
zwf,Glucose-6-phosphate 1-dehydrogenase,G6PD_ECOLI,P0AC53,EG11221,491,zwf,b1852, JW1841
slyA,Transcriptional regulator SlyA,SLYA_ECOLI,P0A8W2,EG13408,144,slyA,b1642, JW5267
sucD,Succinate--CoA ligase [ADP-forming] subunit alpha,SUCD_ECOLI,P0AGE9,EG10982,289,sucD,b0729, JW0718
alx,Putative membrane-bound redox modulator Alx,ALX_ECOLI,P42601,EG12731,321,alx; ygjT,b3088, JW5515
nuoC,NADH-quinone oxidoreductase subunit C/D,NUOCD_ECOLI,P33599,EG12084,596,nuoC; nuoCD; nuoD,b2286, JW5375
lipA,Lipoyl synthase,LIPA_ECOLI,P60716,EG11306,321,lipA; lip,b0628, JW0623
ribA,GTP cyclohydrolase-2,RIBA_ECOLI,P0A7I7,EG11331,196,ribA,b1277, JW1269
guaB,Inosine-5'-monophosphate dehydrogenase,IMDH_ECOLI,P0ADG7,EG10421,488,guaB; guaR,b2508, JW5401
yebC,putative transcriptional regulatory protein YebC,YEBC_ECOLI,P0A8A0,EG11137,246,yebC,b1864, JW1853
tolQ,Protein TolQ,TOLQ_ECOLI,P0ABU9,EG11010,230,tolQ; fii,b0737, JW0727
rsuA,Ribosomal small subunit pseudouridine synthase A,RSUA_ECOLI,P0AA43,EG12044,231,rsuA; yejD,b2183, JW2171
nirD,Nitrite reductase (NADH) small subunit,NIRD_ECOLI,P0A9I8,EG10655,108,nirD,b3366, JW3329
yheS,putative ABC transporter ATP-binding protein YheS,YHES_ECOLI,P63389,EG12903,637,yheS,b3352, JW3315
icd,Isocitrate dehydrogenase [NADP],IDH_ECOLI,P08200,EG10489; EG10009,416,icd; icdA; icdE,b1136, JW1122
astE,Succinylglutamate desuccinylase,ASTE_ECOLI,P76215,EG13995,322,astE; ydjS,b1744, JW1733
pepE,Peptidase E,PEPE_ECOLI,P0A7C6,EG11920,229,pepE,b4021, JW3981
ycfH,putative metal-dependent hydrolase YcfH,YCFH_ECOLI,P0AFQ7,EG12303,265,ycfH,b1100, JW1086
yqjE,Inner membrane protein YqjE,YQJE_ECOLI,P64585,EG12744,134,yqjE,b3099, JW3070
aspA,Aspartate ammonia-lyase,ASPA_ECOLI,P0AC38,EG10095,478,aspA,b4139, JW4099
yafJ,Putative glutamine amidotransferase YafJ,YAFJ_ECOLI,Q47147,EG13147,255,yafJ,b0223, JW0213
dksA,RNA polymerase-binding transcription factor DksA,DKSA_ECOLI,P0ABS1,EG10230,151,dksA,b0145, JW0141
fieF,Ferrous-iron efflux pump FieF,FIEF_ECOLI,P69380,EG11873,300,fieF; yiiP,b3915, JW3886
pdxH,Pyridoxine/pyridoxamine 5'-phosphate oxidase,PDXH_ECOLI,P0AFI7,EG11487,218,pdxH,b1638, JW1630
yghA,putative oxidoreductase YghA,YGHA_ECOLI,P0AG84,EG11292,294,yghA,b3003, JW2972
ampG,Protein AmpG,AMPG_ECOLI,P0AE16,EG12183,491,ampG,b0433, JW0423
mreD,Rod shape-determining protein MreD,MRED_ECOLI,P0ABH4,EG10610,162,mreD,b3249, JW3218
hypA,Hydrogenase maturation factor HypA,HYPA_ECOLI,P0A700,EG10483,116,hypA,b2726, JW2696
serB,Phosphoserine phosphatase,SERB_ECOLI,P0AGB0,EG10945,322,serB,b4388, JW4351
gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",GPMA_ECOLI,P62707,EG11699,250,gpmA; gpm; pgm; pgmA,b0755, JW0738
rpoB,DNA-directed RNA polymerase subunit beta,RPOB_ECOLI,P0A8V2,EG10894,1342,rpoB; groN; nitB; rif; ron; stl; stv; tabD,b3987, JW3950
hdeB,Acid stress chaperone HdeB,HDEB_ECOLI,P0AET2,EG11399,108,hdeB; yhhD; yhiC,b3509, JW5669
sucA,2-oxoglutarate dehydrogenase E1 component,ODO1_ECOLI,P0AFG3,EG10979,933,sucA,b0726, JW0715
plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,PLSC_ECOLI,P26647,EG11377,245,plsC; parF,b3018, JW2986
aceE,Pyruvate dehydrogenase E1 component,ODP1_ECOLI,P0AFG8,EG10024,887,aceE,b0114, JW0110
brnQ,Branched-chain amino acid transport system 2 carrier protein,BRNQ_ECOLI,P0AD99,EG12168,439,brnQ,b0401, JW0391
nrdA,Ribonucleoside-diphosphate reductase 1 subunit alpha,RIR1_ECOLI,P00452,EG10660,761,nrdA; dnaF,b2234, JW2228
pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase,PSS_ECOLI,P23830,EG10781,451,pssA; pss,b2585, JW2569
parC,DNA topoisomerase 4 subunit A,PARC_ECOLI,P0AFI2,EG10686,752,parC,b3019, JW2987
araE,Arabinose-proton symporter,ARAE_ECOLI,P0AE24,EG10056,472,araE,b2841, JW2809
ybfE,putative protein YbfE,YBFE_ECOLI,P0AAU7,EG11775,97,ybfE,b0685, JW5816
recR,Recombination protein RecR,RECR_ECOLI,P0A7H6,EG10834,201,recR,b0472, JW0461
fabR,HTH-type transcriptional repressor FabR,FABR_ECOLI,P0ACU5,EG11394,234,fabR; yijC,b3963, JW3935
hemC,Porphobilinogen deaminase,HEM3_ECOLI,P06983,EG10429,313,hemC; popE,b3805, JW5932
ycaO,Ribosomal protein S12 methylthiotransferase accessory factor YcaO,YCAO_ECOLI,P75838,EG13699,586,ycaO,b0905, JW0888
tpx,Thiol peroxidase,TPX_ECOLI,P0A862,EG12672,168,tpx; yzzJ,b1324, JW1317
glnP,Glutamine transport system permease protein GlnP,GLNP_ECOLI,P0AEQ6,EG10388,219,glnP,b0810, JW0795
nanE,Putative N-acetylmannosamine-6-phosphate 2-epimerase,NANE_ECOLI,P0A761,EG12816,229,nanE; yhcJ,b3223, JW3192
gyrB,DNA gyrase subunit B,GYRB_ECOLI,P0AES6,EG10424,804,gyrB; acrB; cou; himB; hisU; nalC; parA; pcbA,b3699, JW5625
menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",MENA_ECOLI,P32166,EG11880,308,menA; yiiW,b3930, JW3901
fre,NAD(P)H-flavin reductase,FRE_ECOLI,P0AEN1,EG10334,233,fre; fadI; flrD; fsrC; ubiB,b3844, JW3820
mnmE,tRNA modification GTPase MnmE,MNME_ECOLI,P25522,EG10997,454,mnmE; thdF; trmE,b3706, JW3684
atpD,ATP synthase subunit beta,ATPB_ECOLI,P0ABB4,EG10101,460,atpD; papB; uncD,b3732, JW3710
atpC,ATP synthase epsilon chain,ATPE_ECOLI,P0A6E6,EG10100,139,atpC; papG; uncC,b3731, JW3709
pal,Peptidoglycan-associated lipoprotein,PAL_ECOLI,P0A912,EG10684,173,pal; excC,b0741, JW0731
cusR,Transcriptional regulatory protein CusR,CUSR_ECOLI,P0ACZ8,EG13851,227,cusR; ylcA,b0571, JW0560
thyA,Thymidylate synthase,TYSY_ECOLI,P0A884,EG11002,264,thyA,b2827, JW2795
trmJ,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,TRMJ_ECOLI,P0AE01,EG13452,246,trmJ; yfhQ,b2532, JW2516
ychF,Ribosome-binding ATPase YchF,YCHF_ECOLI,P0ABU2,EG11404,363,ychF; engD; gtp1,b1203, JW1194
treF,Cytoplasmic trehalase,TREF_ECOLI,P62601,EG12245,549,treF,b3519, JW3487
ahpC,Alkyl hydroperoxide reductase C,AHPC_ECOLI,P0AE08,EG11384,187,ahpC,b0605, JW0598
rseP,Regulator of sigma-E protease RseP,RSEP_ECOLI,P0AEH1,EG12436,450,rseP; ecfE; yaeL,b0176, JW0171
napC,Cytochrome c-type protein NapC,NAPC_ECOLI,P0ABL5,EG12060,200,napC; yejX,b2202, JW2190
accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,ACCD_ECOLI,P0A9Q5,EG10217,304,accD; dedB; usg,b2316, JW2313
hybC,Hydrogenase-2 large chain,MBHM_ECOLI,P0ACE0,EG11801,567,hybC,b2994, JW2962
metI,D-methionine transport system permease protein MetI,METI_ECOLI,P31547,EG11737,217,metI; yaeE,b0198, JW0194
exbB,Biopolymer transport protein ExbB,EXBB_ECOLI,P0ABU7,EG10271,244,exbB,b3006, JW2974
yejK,Nucleoid-associated protein YejK,NDPA_ECOLI,P33920,EG12048,335,yejK,b2186, JW2174
cpxR,Transcriptional regulatory protein CpxR,CPXR_ECOLI,P0AE88,EG10020,232,cpxR; yiiA,b3912, JW3883
hflX,GTPase HflX,HFLX_ECOLI,P25519,EG10437,426,hflX,b4173, JW4131
caiD,Carnitinyl-CoA dehydratase,CAID_ECOLI,P31551,EG11557,261,caiD; yaaL,b0036, JW0035
pnp,Polyribonucleotide nucleotidyltransferase,PNP_ECOLI,P05055,EG10743,711,pnp,b3164, JW5851
eutS,Ethanolamine utilization protein EutS,EUTS_ECOLI,P63746,EG14192,111,eutS; ypfE,b2462, JW2446
dppC,Dipeptide transport system permease protein DppC,DPPC_ECOLI,P0AEG1,EG12626,300,dppC,b3542, JW3511
rluB,Ribosomal large subunit pseudouridine synthase B,RLUB_ECOLI,P37765,EG12433,291,rluB; yciL,b1269, JW1261
lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,LPXC_ECOLI,P0A725,EG10265,305,lpxC; asmB; envA,b0096, JW0094
ribE,"6,7-dimethyl-8-ribityllumazine synthase",RISB_ECOLI,P61714,EG11322,156,ribE; ribH; ybaF,b0415, JW0405
mscM,Miniconductance mechanosensitive channel MscM,MSCM_ECOLI,P39285,EG12478,1107,mscM; yjeP,b4159, JW4120
uhpA,Transcriptional regulatory protein UhpA,UHPA_ECOLI,P0AGA6,EG11051,196,uhpA,b3669, JW3644
yadH,Inner membrane transport permease YadH,YADH_ECOLI,P0AFN6,EG12321,256,yadH,b0128, JW0124
uspB,Universal stress protein B,USPB_ECOLI,P0A8S5,EG12231,111,uspB; yhiO,b3494, JW3461
metH,Methionine synthase,METH_ECOLI,P13009,EG10587,1227,metH,b4019, JW3979
ycgJ,putative methyltransferase YcgJ,YCGJ_ECOLI,P76001,EG13891,122,ycgJ,b1177, JW1166
yciO,putative protein YciO,YCIO_ECOLI,P0AFR4,EG12967,206,yciO,b1267, JW5196
putP,Sodium/proline symporter,PUTP_ECOLI,P07117,EG10802,502,putP,b1015, JW1001
ubiB,putative protein kinase UbiB,UBIB_ECOLI,P0A6A0,EG11476,546,ubiB; aarF; yigQ; yigR; yigS,b3835, JW3812
hemL,"Glutamate-1-semialdehyde 2,1-aminomutase",GSA_ECOLI,P23893,EG10432,426,hemL; gsa; popC,b0154, JW0150
fabD,Malonyl CoA-acyl carrier protein transacylase,FABD_ECOLI,P0AAI9,EG11317,309,fabD; tfpA,b1092, JW1078
rlmH,Ribosomal RNA large subunit methyltransferase H,RLMH_ECOLI,P0A8I8,EG11254,155,rlmH; ybeA,b0636, JW0631
yrfG,GMP/IMP nucleotidase YrfG,YRFG_ECOLI,P64636,EG12928,222,yrfG,b3399, JW5865
ybhS,putative multidrug ABC transporter permease YbhS,YBHS_ECOLI,P0AFQ2,EG13675,377,ybhS,b0793, JW0777
uspD,Universal stress protein D,USPD_ECOLI,P0AAB8,EG11877,142,uspD; yiiT,b3923, JW3894
rpoH,RNA polymerase sigma factor RpoH,RPOH_ECOLI,P0AGB3,EG10897,284,rpoH; fam; hin; htpR,b3461, JW3426
fumC,Fumarate hydratase class II,FUMC_ECOLI,P05042,EG10358,467,fumC,b1611, JW1603
spoT,Bifunctional (p)ppGpp synthase/hydrolase SpoT,SPOT_ECOLI,P0AG24,EG10966,702,spoT,b3650, JW3625
mdtH,Multidrug resistance protein MdtH,MDTH_ECOLI,P69367,EG13878,402,mdtH; yceL,b1065, JW1052
gyrA,DNA gyrase subunit A,GYRA_ECOLI,P0AES4,EG10423,875,gyrA; hisW; nalA; parD,b2231, JW2225
hda,DnaA regulatory inactivator Hda,HDA_ECOLI,P69931,EG14201,233,hda; idaB; yfgE,b2496, JW5397
yqhD,Alcohol dehydrogenase YqhD,YQHD_ECOLI,Q46856,EG13014,387,yqhD,b3011, JW2978
pepQ,Xaa-Pro dipeptidase,PEPQ_ECOLI,P21165,EG10698,443,pepQ,b3847, JW3823
grcA,Autonomous glycyl radical cofactor,GRCA_ECOLI,P68066,EG11784,127,grcA; yfiD,b2579, JW2563
fabI,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,FABI_ECOLI,P0AEK4,EG11528,262,fabI; envM,b1288, JW1281
apt,Adenine phosphoribosyltransferase,APT_ECOLI,P69503,EG10051,183,apt,b0469, JW0458
ppsR,Phosphoenolpyruvate synthase regulatory protein,PSRP_ECOLI,P0A8A4,EG11132,277,ppsR; ydiA,b1703, JW1693
ettA,Energy-dependent translational throttle protein EttA,ETTA_ECOLI,P0A9W3,EG12343,555,ettA; yjjK,b4391, JW4354
fucI,L-fucose isomerase,FUCI_ECOLI,P69922,EG10349,591,fucI,b2802, JW2773
sugE,Quaternary ammonium compound-resistance protein SugE,SUGE_ECOLI,P69937,EG11616,105,sugE,b4148, JW5738
gcvA,Glycine cleavage system transcriptional activator,GCVA_ECOLI,P0A9F6,EG11795,305,gcvA,b2808, JW2779
bamC,Outer membrane protein assembly factor BamC,BAMC_ECOLI,P0A903,EG10658,344,bamC; dapX; nlpB,b2477, JW2462
prmA,Ribosomal protein L11 methyltransferase,PRMA_ECOLI,P0A8T1,EG11497,293,prmA; yhdI,b3259, JW3227
hslO,33 kDa chaperonin,HSLO_ECOLI,P0A6Y5,EG12930,292,hslO; yrfI,b3401, JW5692
livH,High-affinity branched-chain amino acid transport system permease protein LivH,LIVH_ECOLI,P0AEX7,EG10538,308,livH,b3457, JW3422
fdoH,Formate dehydrogenase-O iron-sulfur subunit,FDOH_ECOLI,P0AAJ5,EG11857,300,fdoH,b3893, JW3864
actP,Cation/acetate symporter ActP,ACTP_ECOLI,P32705,EG11942,549,actP; yjcG,b4067, JW4028
ybeZ,PhoH-like protein,PHOL_ECOLI,P0A9K3,EG13656,346,ybeZ,b0660, JW0657
lpoB,Penicillin-binding protein activator LpoB,LPOB_ECOLI,P0AB38,EG13431,213,lpoB; ycfM,b1105, JW5157
bioB,Biotin synthase,BIOB_ECOLI,P12996,EG10118,346,bioB,b0775, JW0758
rnpA,Ribonuclease P protein component,RNPA_ECOLI,P0A7Y8,EG10862,119,rnpA,b3704, JW3681
tolR,Protein TolR,TOLR_ECOLI,P0ABV6,EG11011,142,tolR,b0738, JW0728
dgkA,Diacylglycerol kinase,KDGL_ECOLI,P0ABN1,EG10224,122,dgkA,b4042, JW4002
nusA,Transcription termination/antitermination protein NusA,NUSA_ECOLI,P0AFF6,EG10665,495,nusA,b3169, JW3138
suhB,Inositol-1-monophosphatase,SUHB_ECOLI,P0ADG4,EG10983,267,suhB; ssyA,b2533, JW2517
dxs,1-deoxy-D-xylulose-5-phosphate synthase,DXS_ECOLI,P77488,EG13612,620,dxs; yajP,b0420, JW0410
ydaF,Putative ribosomal N-acetyltransferase YdaF,YDAF_ECOLI,P0ACW0,EG12157,51,ydaF,b4527, JW1349
gltX,Glutamate--tRNA ligase,SYE_ECOLI,P04805,EG10407,471,gltX,b2400, JW2395
trpB,Tryptophan synthase beta chain,TRPB_ECOLI,P0A879,EG11025,397,trpB,b1261, JW1253
tktA,Transketolase 1,TKT1_ECOLI,P27302,EG11427,663,tktA; tkt,b2935, JW5478
rsmA,Ribosomal RNA small subunit methyltransferase A,RSMA_ECOLI,P06992,EG10523,273,rsmA; ksgA,b0051, JW0050
btsS,Sensor histidine kinase BtsS,BTSS_ECOLI,P0AD14,EG12007,561,btsS; yehU,b2126, JW5353
viaA,Protein ViaA,VIAA_ECOLI,P0ADN0,EG11730,483,viaA; yieD; yieM,b3745, JW5610
msrA,Peptide methionine sulfoxide reductase MsrA,MSRA_ECOLI,P0A744,EG11433,212,msrA; pms,b4219, JW4178
uvrA,UvrABC system protein A,UVRA_ECOLI,P0A698,EG11061,940,uvrA; dinE,b4058, JW4019
glyS,Glycine--tRNA ligase beta subunit,SYGB_ECOLI,P00961,EG10410,689,glyS; glyS(B),b3559, JW3530
gcvP,Glycine dehydrogenase (decarboxylating),GCSP_ECOLI,P33195,EG11810,957,gcvP,b2903, JW2871
sdaC,Serine transporter,SDAC_ECOLI,P0AAD6,EG12142,429,sdaC; dcrA,b2796, JW2767
appB,Cytochrome bd-II ubiquinol oxidase subunit 2,APPB_ECOLI,P26458,EG11379,378,appB; cbdB; cyxB,b0979, JW0961
sdhB,Succinate dehydrogenase iron-sulfur subunit,SDHB_ECOLI,P07014,EG10932,238,sdhB,b0724, JW0714
nikB,Nickel transport system permease protein NikB,NIKB_ECOLI,P33591,EG12076,314,nikB,b3477, JW3442
proX,Glycine betaine/proline betaine-binding periplasmic protein,PROX_ECOLI,P0AFM2,EG10773,330,proX; proU,b2679, JW2654
wecA,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,WECA_ECOLI,P0AC78,EG10840,367,wecA; rfe,b3784, JW3758
fabB,3-oxoacyl-[acyl-carrier-protein] synthase 1,FABB_ECOLI,P0A953,EG10274,406,fabB; fabC,b2323, JW2320
yejM,Inner membrane protein YejM,YEJM_ECOLI,P0AD27,EG12049,586,yejM; yejN,b2188, JW2176
elaB,Protein ElaB,ELAB_ECOLI,P0AEH5,EG13185,101,elaB; yfbD,b2266, JW2261
coaE,Dephospho-CoA kinase,COAE_ECOLI,P0A6I9,EG12312,206,coaE; yacE,b0103, JW0100
gudP,putative glucarate transporter,GUDP_ECOLI,Q46916,EG13169,450,gudP; ygcZ,b2789, JW2760
glnS,Glutamine--tRNA ligase,SYQ_ECOLI,P00962,EG10390,554,glnS,b0680, JW0666
mrdA,"Peptidoglycan D,D-transpeptidase MrdA",MRDA_ECOLI,P0AD65,EG10606,633,mrdA; pbpA,b0635, JW0630
nagD,Ribonucleotide monophosphatase NagD,NAGD_ECOLI,P0AF24,EG10634,250,nagD,b0675, JW0661
exbD,Biopolymer transport protein ExbD,EXBD_ECOLI,P0ABV2,EG10272,141,exbD,b3005, JW2973
sdaA,L-serine dehydratase 1,SDHL_ECOLI,P16095,EG10930,454,sdaA,b1814, JW1803
dctA,Aerobic C4-dicarboxylate transport protein,DCTA_ECOLI,P0A830,EG20044,428,dctA,b3528, JW3496
kch,Voltage-gated potassium channel Kch,KCH_ECOLI,P31069,EG11606,417,kch,b1250, JW1242
uvrB,UvrABC system protein B,UVRB_ECOLI,P0A8F8,EG11062,673,uvrB,b0779, JW0762
ppk,Polyphosphate kinase,PPK1_ECOLI,P0A7B1,EG11510,688,ppk,b2501, JW2486
cmoM,tRNA 5-carboxymethoxyuridine methyltransferase,CMOM_ECOLI,P36566,EG12167,261,cmoM; smtA; ycbD,b0921, JW0904
yccA,Modulator of FtsH protease YccA,YCCA_ECOLI,P0AAC6,EG11113,219,yccA,b0970, JW0953
trpS,Tryptophan--tRNA ligase,SYW_ECOLI,P00954,EG11030,334,trpS,b3384, JW3347
ilvE,Branched-chain-amino-acid aminotransferase,ILVE_ECOLI,P0AB80,EG10497,309,ilvE,b3770, JW5606
amn,AMP nucleosidase,AMN_ECOLI,P0AE12,EG10039,484,amn,b1982, JW1963
rho,Transcription termination factor Rho,RHO_ECOLI,P0AG30,EG10845,419,rho; nitA; psuA; rnsC; sbaA; tsu,b3783, JW3756
fbp,"Fructose-1,6-bisphosphatase class 1",F16PA_ECOLI,P0A993,EG10283,332,fbp; fdp,b4232, JW4191
thrC,Threonine synthase,THRC_ECOLI,P00934,EG11000,428,thrC,b0004, JW0003
talB,Transaldolase B,TALB_ECOLI,P0A870,EG11556,317,talB; yaaK,b0008, JW0007
kdsD,Arabinose 5-phosphate isomerase KdsD,KDSD_ECOLI,P45395,EG12803,328,kdsD; yrbH,b3197, JW3164
metR,HTH-type transcriptional regulator MetR,METR_ECOLI,P0A9F9,EG10591,317,metR,b3828, JW3804
rpsM,30S ribosomal protein S13,RS13_ECOLI,P0A7S9,EG10912,118,rpsM,b3298, JW3260
gcvT,Aminomethyltransferase,GCST_ECOLI,P27248,EG11442,364,gcvT,b2905, JW2873
ynfM,Inner membrane transport protein YnfM,YNFM_ECOLI,P43531,EG12951,417,ynfM; yzyC,b1596, JW1588
yhhJ,Inner membrane transport permease YhhJ,YHHJ_ECOLI,P0AGH1,EG11767,374,yhhJ,b3485, JW5677
ugpB,sn-glycerol-3-phosphate-binding periplasmic protein UgpB,UGPB_ECOLI,P0AG80,EG11047,438,ugpB,b3453, JW3418
lolC,Lipoprotein-releasing system transmembrane protein LolC,LOLC_ECOLI,P0ADC3,EG13439,399,lolC; ycfU,b1116, JW5161
rplQ,50S ribosomal protein L17,RL17_ECOLI,P0AG44,EG10878,127,rplQ,b3294, JW3256
mdoC,Glucans biosynthesis protein C,OPGC_ECOLI,P75920,EG13876,385,mdoC; opgC; ymdD,b1047, JW1034
nadD,Nicotinate-nucleotide adenylyltransferase,NADD_ECOLI,P0A752,EG13241,213,nadD; ybeN,b0639, JW0634
ypdA,Sensor histidine kinase YpdA,YPDA_ECOLI,P0AA93,EG14148,565,ypdA,b2380, JW5388
valS,Valine--tRNA ligase,SYV_ECOLI,P07118,EG11067,951,valS,b4258, JW4215
def,Peptide deformylase,DEF_ECOLI,P0A6K3,EG11440,169,def; fms,b3287, JW3248
citF,Citrate lyase alpha chain,CILA_ECOLI,P75726,EG13541,510,citF; ybdV,b0615, JW5087
fabF,3-oxoacyl-[acyl-carrier-protein] synthase 2,FABF_ECOLI,P0AAI5,EG12606,413,fabF; fabJ,b1095, JW1081
metN,Methionine import ATP-binding protein MetN,METN_ECOLI,P30750,EG11621,343,metN; abc,b0199, JW0195
bamE,Outer membrane protein assembly factor BamE,BAME_ECOLI,P0A937,EG10952,113,bamE; smpA,b2617, JW2598
htpG,Chaperone protein HtpG,HTPG_ECOLI,P0A6Z3,EG10461,624,htpG,b0473, JW0462
pyrD,Dihydroorotate dehydrogenase (quinone),PYRD_ECOLI,P0A7E1,EG10807,336,pyrD,b0945, JW0928
glyQ,Glycine--tRNA ligase alpha subunit,SYGA_ECOLI,P00960,EG10409,303,glyQ; glyS(A),b3560, JW3531
nusG,Transcription termination/antitermination protein NusG,NUSG_ECOLI,P0AFG0,EG10667,181,nusG,b3982, JW3945
mlaD,putative phospholipid ABC transporter-binding protein MlaD,MLAD_ECOLI,P64604,EG12799,183,mlaD; yrbD,b3193, JW3160
satP,Succinate-acetate/proton symporter SatP,SATP_ECOLI,P0AC98,EG11512,188,satP; yaaH,b0010, JW0009
rpoN,RNA polymerase sigma-54 factor,RP54_ECOLI,P24255,EG10898,477,rpoN; glnF; ntrA,b3202, JW3169
lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,LPXD_ECOLI,P21645,EG10316,341,lpxD; firA; omsA,b0179, JW0174
hypB,Hydrogenase maturation factor HypB,HYPB_ECOLI,P0AAN3,EG10484,290,hypB,b2727, JW2697
mtr,Tryptophan-specific transport protein,MTR_ECOLI,P0AAD2,EG10617,414,mtr,b3161, JW3130
cydB,Cytochrome bd-I ubiquinol oxidase subunit 2,CYDB_ECOLI,P0ABK2,EG10174,379,cydB; cyd-2,b0734, JW0723
ybhC,Putative acyl-CoA thioester hydrolase YbhC,YBHC_ECOLI,P46130,EG12875,427,ybhC,b0772, JW0755
prfA,Peptide chain release factor RF1,RF1_ECOLI,P0A7I0,EG10761,360,prfA; sueB; uar,b1211, JW1202
iscU,Iron-sulfur cluster assembly scaffold protein IscU,ISCU_ECOLI,P0ACD4,EG13395,128,iscU; nifU; yfhN,b2529, JW2513
yghB,Inner membrane protein YghB,YGHB_ECOLI,P0AA60,EG11824,219,yghB,b3009, JW2976
lgt,Prolipoprotein diacylglyceryl transferase,LGT_ECOLI,P60955,EG12128,291,lgt; umpA,b2828, JW2796
rplC,50S ribosomal protein L3,RL3_ECOLI,P60438,EG10866,209,rplC,b3320, JW3282
tdh,L-threonine 3-dehydrogenase,TDH_ECOLI,P07913,EG10993,341,tdh,b3616, JW3591
ybhQ,Inner membrane protein YbhQ,YBHQ_ECOLI,P0AAW5,EG13673,136,ybhQ,b0791, JW0774
